"","Date","true_closeprice","closepricehat"
"2019-10-02",388,5422.77002,5601.86965438507
"2019-10-03",389,5438.77002,5408.06168051673
"2019-10-04",390,5488.319824,5420.70353403997
"2019-10-07",391,5521.609863,5482.42976137153
"2019-10-08",392,5456.620117,5528.86897959517
"2019-10-09",393,5499.140137,5465.17651869886
"2019-10-10",394,5569.049805,5499.31075939526
"2019-10-11",395,5665.47998,5569.54811893287
"2019-10-14",396,5643.080078,5675.90575416969
"2019-10-15",397,5702.049805,5648.44248261957
"2019-10-16",398,5696.899902,5708.40720931534
"2019-10-17",399,5673.069824,5698.64309638785
"2019-10-18",400,5636.25,5673.14349186411
"2019-10-21",401,5648.350098,5636.45643289376
"2019-10-22",402,5657.689941,5647.23850649139
"2019-10-23",403,5653.439941,5657.71142722407
"2019-10-24",404,5684.330078,5656.91839878055
"2019-10-25",405,5722.149902,5687.7440670477
"2019-10-28",406,5730.569824,5727.11424575161
"2019-10-29",407,5740.140137,5735.28014181624
"2019-10-30",408,5765.870117,5742.8301095412
"2019-10-31",409,5729.859863,5767.51040349341
"2019-11-01",410,5761.890137,5729.72451006099
"2019-11-04",411,5824.299805,5763.62804973633
"2019-11-05",412,5846.890137,5827.4444990995
"2019-11-06",413,5866.740234,5853.03470364697
"2019-11-07",414,5890.990234,5872.98319234598
"2019-11-08",415,5889.700195,5893.7777719914
"2019-11-11",416,5893.819824,5896.26285293109
"2019-11-12",417,5919.75,5896.55253675659
"2019-11-13",418,5907.089844,5920.77113693987
"2019-11-14",419,5901.080078,5907.90562852011
"2019-11-15",420,5939.27002,5902.99177066519
"2019-11-18",421,5929.790039,5941.08524476629
"2019-11-19",422,5909.049805,5930.75217691054
"2019-11-20",423,5894.029785,5910.66010057294
"2019-11-21",424,5881.209961,5895.38330836966
"2019-11-22",425,5893.129883,5881.02228616867
"2019-11-25",426,5924.859863,5900.27474591374
"2019-11-26",427,5929.620117,5931.63674020698
"2019-11-27",428,5926.839844,5931.3452673799
"2019-11-28",429,5912.720215,5931.24079311481
"2019-11-29",430,5905.169922,5913.51160850898
"2019-12-02",431,5786.740234,5905.72695974095
"2019-12-03",432,5727.220215,5776.35584379412
"2019-12-04",433,5799.680176,5707.55769235957
"2019-12-05",434,5801.549805,5792.02868697439
"2019-12-06",435,5871.910156,5801.98044428542
"2019-12-09",436,5837.25,5914.68327704677
"2019-12-10",437,5848.029785,5846.96916758698
"2019-12-11",438,5860.879883,5855.22413410398
"2019-12-12",439,5884.259766,5863.98000332525
"2019-12-13",440,5919.02002,5884.69846373585
"2019-12-16",441,5991.660156,5922.068753421
"2019-12-17",442,5968.259766,6004.34129425845
"2019-12-18",443,5959.600098,5973.4330855154
"2019-12-19",444,5972.279785,5964.32921430849
"2019-12-20",445,6021.529785,5975.61593333737
"2019-12-23",446,6029.370117,6023.85893016921
"2019-12-24",447,6029.549805,6032.14526754962
"2019-12-26",448,6029.549805,6030.66572614613
"2019-12-27",449,6037.390137,6030.73415440148
"2019-12-30",450,5982.220215,6038.25301323683
"2019-12-31",451,5978.060059,5981.68384048918
"2020-01-02",452,6041.5,5977.59592592326
"2020-01-03",453,6044.160156,6044.69954783161
"2020-01-06",454,6013.589844,6046.82114736092
"2020-01-07",455,6012.350098,6022.33195424364
"2020-01-08",456,6031,6020.15540719132
"2020-01-09",457,6042.549805,6030.37085915538
"2020-01-10",458,6037.109863,6044.29007883192
"2020-01-13",459,6036.140137,6039.49600739156
"2020-01-14",460,6040.890137,6037.69536508193
"2020-01-15",461,6032.609863,6041.69594581178
"2020-01-16",462,6039.029785,6032.79006010044
"2020-01-17",463,6100.720215,6039.87438618145
"2020-01-20",464,6078.540039,6105.94365517567
"2020-01-21",465,6045.990234,6081.17594784819
"2020-01-22",466,6010.97998,6050.46648116305
"2020-01-23",467,5971.790039,6009.91029135183
"2020-01-24",468,6024.259766,5966.85165933593
"2020-01-27",469,5863.02002,6026.68441221536
"2020-01-28",470,5925.819824,5859.35590864162
"2020-01-29",471,5954.890137,5929.4936891178
"2020-01-30",472,5871.77002,5951.57822573499
"2020-01-31",473,5806.339844,5877.12710064138
"2020-02-03",474,5832.509766,5809.74265255535
"2020-02-04",475,5935.049805,5831.22360538266
"2020-02-05",476,5985.399902,5942.86030256616
"2020-02-06",477,6038.180176,5992.39976176579
"2020-02-07",478,6029.75,6045.71879912422
"2020-02-10",479,6015.669922,6032.61076058437
"2020-02-11",480,6054.759766,6016.05305713643
"2020-02-12",481,6104.72998,6055.90409921059
"2020-02-13",482,6093.140137,6105.74453535052
"2020-02-14",483,6069.350098,6095.92827579935
